Date,Close,Predictions,title_senti_comp,news_senti_comp,avg_senti_comp,residual,ols_adjusted_pred,recommnedation,recommendation,Buy,Purchased
2021-07-09,2071.199951171875,2104.0393,0.0,0.0,0.0,32.83935546875,2077.674951171875,Buy,Hold,0,0.0
2021-07-12,2084.10009765625,2073.7693,0.0,0.0,0.0,-10.330810546875,2090.57509765625,Buy,Hold,0,0.0
2021-07-13,2099.699951171875,2051.6033,0.2718333333333333,0.7047,0.4866666666666666,-48.0966796875,2095.689015171875,Hold,Hold,0,0.0
2021-07-14,2086.0,2066.4727,0.0,0.0,0.0,-19.52734375,2092.475,Buy,Hold,0,0.0
2021-07-15,2082.35009765625,2086.7417,0.0,0.0,0.0,4.3916015625,2088.82509765625,Buy,Hold,0,0.0
2021-07-16,2112.39990234375,2068.1418,0.0,0.29600000000000004,0.15,-44.258056640625,2114.4704223437498,Hold,Hold,0,0.0
2021-07-19,2098.949951171875,2076.8242,0.0,0.9345,0.47,-22.125732421875,2091.5195911718747,Hold,Hold,0,0.0
2021-07-20,2093.800048828125,2103.8691,0.0,0.9345,0.47,10.069091796875,2086.3696888281247,Hold,Hold,0,0.0
2021-07-22,2120.699951171875,2097.334,0.0,0.5423,0.27,-23.365966796875,2119.105527171875,Hold,Hold,0,0.0
2021-07-23,2105.699951171875,2102.8513,0.0,0.0,0.0,-2.8486328125,2112.174951171875,Buy,Hold,0,0.0
2021-07-26,2076.85009765625,2107.1997,0.4008000000000001,0.28369999999999995,0.34,30.349609375,2079.1036416562497,Hold,Hold,0,0.0
2021-07-27,2055.0,2095.688,0.0,0.5423,0.27,40.68798828125,2053.405576,Hold,Hold,0,0.0
2021-07-28,2037.3499755859373,2055.8318,0.0,0.0,0.0,18.481811523437727,2043.8249755859372,Buy,Hold,0,0.0
2021-07-29,2053.25,2025.0828,0.0,0.0,0.0,-28.167236328125,2059.725,Buy,Hold,0,0.0
2021-07-30,2035.300048828125,2022.7815,0.0,0.0,0.0,-12.5185546875,2041.775048828125,Buy,Hold,0,0.0
2021-08-02,2072.5,2021.2197,0.0,0.0,0.0,-51.2802734375,2078.975,Buy,Hold,0,0.0
2021-08-03,2087.75,2025.2036,0.26425,0.453325,0.3575,-62.54638671875,2087.479524,Hold,Hold,0,0.0
2021-08-04,2103.75,2071.6736,0.0,0.9409,0.47,-32.076416015625,2096.224408,Hold,Hold,0,0.0
