date,title_senti_comp,news_senti_comp,avg_senti_comp
2021-08-27,0.0,0.4215,0.21
2021-09-01,0.0,0.78215,0.395
2021-09-03,0.11333333333333334,0.7958,0.45333333333333337
2021-09-04,0.0,0.7845,0.39
2021-09-06,0.0,0.8613,0.43
2021-09-07,0.17,0.94355,0.5549999999999999
2021-09-08,0.0,0.4215,0.21
2021-09-09,0.0,0.2263,0.11
2021-09-13,0.0,0.8777,0.44
2021-09-23,0.0,0.6369,0.32
2021-09-24,0.212,0.9379666666666667,0.5766666666666667
2021-09-25,-0.0258,0.5106,0.24
2021-10-04,0.0,0.6515666666666667,0.32666666666666666
2021-10-07,0.0,0.6483,0.3233333333333333
2021-10-08,0.0,0.51845,0.26
2021-10-11,0.02965,0.7464666666666666,0.38833333333333336
2021-10-13,0.3915666666666667,0.8551333333333334,0.6233333333333334
2021-10-14,0.4088,0.8707499999999999,0.64
2021-10-18,0.0,0.5859,0.29
2021-10-19,0.4390666666666667,0.6831666666666667,0.5633333333333334
2021-10-20,0.0,0.5025333333333334,0.25
2021-10-22,0.0,0.9520500000000001,0.475
2021-10-23,0.1101,0.364175,0.2375
2021-10-27,0.0,0.5859,0.29
2021-10-28,0.0,0.6561,0.33
2021-11-03,0.0,0.296,0.15
2021-11-06,-0.0258,0.5106,0.24
2021-11-09,0.1366,0.9378500000000001,0.54
2021-11-12,0.0,0.7667999999999999,0.385
2021-11-19,-0.0258,-0.0258,-0.03
2021-11-20,-0.0129,0.1366,0.06
2021-11-22,0.0,0.7351,0.37
2021-11-23,-0.3182,0.2023,-0.06
2021-11-25,0.03558,0.5471,0.292
2021-11-27,0.148,0.3728,0.26
2021-11-29,0.0,0.6696,0.3325
2021-11-30,0.0,0.235,0.12
2021-12-02,0.11333333333333334,0.4933,0.30333333333333334
2021-12-03,-0.0258,0.5106,0.24
2021-12-07,0.0,0.996,0.5
2021-12-08,0.0,0.8491666666666667,0.4266666666666667
2021-12-10,0.0,0.5553,0.275
2021-12-15,0.2023,0.4767,0.34
2021-12-16,0.67545,0.9571000000000001,0.815
2021-12-21,0.0,0.7288,0.365
2021-12-22,0.0,0.4588,0.23
2021-12-27,0.0,0.2263,0.11
2021-12-30,0.0,0.3021,0.15000000000000002
2021-12-31,0.191775,0.777025,0.485
2022-01-04,0.0,0.9313,0.47
2022-01-06,0.12726666666666667,0.40596666666666664,0.26666666666666666
2022-01-07,0.0,0.8455600000000001,0.422
2022-01-10,0.0,0.9702,0.49
2022-01-11,0.0,0.9773,0.49
2022-01-13,0.0,0.969,0.48
2022-01-18,0.0,0.8858,0.44
2022-01-19,0.039985714285714284,0.6047142857142856,0.32285714285714284
2022-01-21,0.0,0.8145000000000001,0.4066666666666667
2022-01-22,0.18409999999999999,0.469375,0.325
2022-01-24,0.10115,0.925,0.515
2022-01-31,0.0,0.96235,0.48
2022-02-01,0.0,0.9666,0.48
2022-02-05,-0.0129,0.24975,0.11499999999999999
2022-02-07,0.0,0.815,0.405
2022-02-10,0.16463333333333333,0.8076,0.48666666666666664
2022-02-14,0.0,0.39399999999999996,0.19666666666666666
2022-02-15,0.0,0.84995,0.42500000000000004
2022-02-17,-0.1591,0.51315,0.175
2022-02-23,-0.0258,0.5106,0.24
2022-02-24,0.0,0.9245,0.46
2022-02-25,0.0,0.4215,0.21
2022-02-26,0.0,0.2732,0.14
2022-02-28,0.17,-0.8734999999999999,-0.35
